Applicant_ID,Age,Annual_Income,Calculated_Credit_Score,Loan_Status
APP00001,28,150000000,720,Approved
APP00002,52,180000000,480,Rejected
APP00003,35,250000000,750,Approved
APP00004,47,120000000,520,Rejected
APP00005,31,300000000,780,Approved
APP00006,55,200000000,450,Rejected
APP00007,29,180000000,690,Approved
APP00008,48,220000000,510,Rejected
APP00009,40,280000000,760,Approved
APP00010,58,190000000,420,Rejected
APP00011,26,160000000,700,Approved
APP00012,50,210000000,490,Rejected
APP00013,38,270000000,740,Approved
APP00014,53,170000000,460,Rejected
APP00015,33,290000000,770,Approved
APP00016,46,200000000,540,Approved
APP00017,27,155000000,710,Approved
APP00018,51,225000000,475,Rejected
APP00019,36,265000000,755,Approved
APP00020,49,185000000,505,Rejected
APP00021,30,195000000,725,Approved
APP00022,54,215000000,485,Rejected
APP00023,37,275000000,765,Approved
APP00024,56,205000000,440,Rejected
APP00025,32,240000000,735,Approved
APP00026,45,235000000,680,Approved
APP00027,25,145000000,695,Approved
APP00028,57,230000000,455,Rejected
APP00029,39,285000000,745,Approved
APP00030,60,195000000,410,Rejected
APP00031,34,260000000,730,Approved
APP00032,47,175000000,530,Rejected
APP00033,28,190000000,715,Approved
APP00034,52,240000000,470,Rejected
APP00035,41,295000000,750,Approved
APP00036,59,210000000,425,Rejected
APP00037,29,165000000,705,Approved
APP00038,48,195000000,515,Rejected
APP00039,35,255000000,740,Approved
APP00040,55,220000000,445,Rejected
APP00041,31,245000000,725,Approved
APP00042,50,185000000,495,Rejected
APP00043,37,270000000,755,Approved
APP00044,53,200000000,465,Rejected
APP00045,33,280000000,760,Approved
APP00046,46,215000000,550,Rejected
APP00047,26,170000000,710,Approved
APP00048,51,235000000,480,Rejected
APP00049,38,265000000,745,Approved
APP00050,58,190000000,430,Rejected
